"DATE","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE AUTO","NSE BANK","NSE ENERGY","NSE FIN","NSE FMCG","NSE IT","NSE MED","NSE MET","NSE PHARMA"
2008-05-16,2.269431488,1.84398513,9.457144845,0.00734471,0.018173585,0.007226931,0.01070842,0.012561066,-0.003578464,0.008650647,0.025225377,0.007947476
2008-05-20,0.150863083,4.115721112,-6.152573097,4.02e-05,-0.024252413,-0.009966767,-0.017198592,-0.005371408,-0.008533491,-0.005866443,0.005898577,-0.015067407
2008-05-21,-0.759455541,-2.006792258,4.647619724,0.00312753,-0.011388621,0.010566001,-0.0111698,0.000386202,-0.000797554,0.012583999,0.012938329,-0.00884439
2008-05-22,-1.988575395,1.103835871,-3.167644505,-0.018150285,-0.030776011,-0.016972885,-0.028946324,-0.014940722,-0.007427609,-0.009088538,-0.018841334,-0.003832249
2008-05-23,-1.002049228,-1.727056627,-4.522208463,-0.013773739,-0.019342969,-0.022047216,-0.014806422,-0.017996878,-0.019288762,-0.006781517,-0.022676831,0.000855925
2008-05-27,0.741570396,1.372697593,-0.893105845,-0.018536924,-0.059223433,-0.019891699,-0.057178609,-0.023486727,0.022743061,-0.053207167,-0.029987819,0.012516909
2008-05-28,-2.574200152,-3.84888435,-0.696571353,0.005100184,0.028351747,0.004894969,0.022358139,0.037682511,0.027782727,0.009546312,0.013960323,0.019232777
2008-05-29,0.285525233,-0.034897906,0.653796772,-0.029763654,-0.030106623,-0.023532896,-0.027427998,-0.01217007,-0.005785545,-0.004586596,-0.005515298,-0.00343828
2008-05-30,0.952056475,1.405711466,-7.522305803,-0.01739897,0.001155586,-0.005089356,0.007698608,0.007800299,0.021816597,0.026883068,0.015744694,0.016534074
2008-06-02,-1.128640071,-2.491372151,2.085007099,0.003385091,-0.036024816,-0.033779536,-0.036027032,-0.007813795,-0.024347585,-0.029027812,-0.040247279,-0.001522998
2008-06-03,-2.400600179,-0.655216079,-0.5915037,0.001673121,-0.00723947,0.007340461,-0.010788334,-0.003201422,-0.010788772,-0.00722524,-0.000996593,0
2008-06-04,4.062203252,4.600136608,-1.675138491,-0.03329153,-0.029764172,-0.020673272,-0.028061076,-0.017356478,-0.023503542,-0.022795968,-0.04350994,-0.025385278
2008-06-05,-1.49626764,8.47538037,0.482281882,0.000470202,0.016054239,0.019160709,0.018654168,0.025086694,0.044630531,0.014918238,0.018954887,0.025777482
2008-06-06,1.82413854,-2.880773609,-3.718963047,-0.000107586,-0.011550597,-0.007726888,-0.016235503,-0.02080975,-0.009619343,-0.010141712,-0.014799038,-0.009893349
2008-06-09,-2.430742936,-2.010027851,2.647213645,-0.019650704,-0.031082809,-0.028949862,-0.037207224,-0.023007152,-0.046365367,-0.033678103,-0.006208175,0.003726009
2008-06-10,0.402542168,3.253445014,-0.873737589,-0.003766304,-0.022666913,-0.00854017,-0.021086178,-0.013059399,-0.025106954,-0.006140903,-0.011427986,0.025727368
2008-06-11,-1.810472612,0.194787758,-0.632538972,0.006905869,0.02698496,0.014209385,0.026897821,-0.0057784,0.012635591,0.011850251,0.01187372,0.000397571
2008-06-12,0.913612548,-0.85037869,-1.298375228,-0.000708309,0.004705882,0.005832989,0.00210839,0.001362156,-0.000673854,0.01082057,9.22e-05,0.000932168
2008-06-13,0.681225677,0.40596592,-4.18550518,-0.006874892,-0.001033445,-0.002701317,-0.003816296,-0.00982714,0.005115446,0.001546759,-0.016758575,0.011984282
2008-06-16,1.024274001,-0.996203857,2.350157228,-0.002791043,0.022458974,0.010281917,0.018437726,0.010799232,0.013313438,0.006591255,0.015254608,0.006808275
2008-06-17,-0.902365675,2.608893269,-3.857697541,0.013662601,0.048614908,0.022852927,0.048817038,0.01348968,0.010239142,0.018694781,0.008000205,0.008318123
2008-06-18,-2.212762951,-3.333803577,1.268037604,-0.001768042,-0.035031475,-0.012462397,-0.027266626,0.002298425,-0.023050327,-0.001346966,-0.019890138,-0.005421995
2008-06-19,-0.758052143,2.456033179,-1.541489854,-0.002150711,-0.039238455,-0.015767237,-0.040961442,-0.007050158,-0.006291781,-0.003619518,-0.008048431,-0.017346111
2008-06-20,2.441495506,1.461024759,-2.262171938,-0.026025518,-0.033345923,-0.036176757,-0.033250565,-0.026869341,-0.027049047,-0.02530872,-0.038995143,-0.02470044
2008-06-23,-1.723819507,-0.356330419,3.66967053,-0.027425062,-0.02862675,-0.014838807,-0.021359845,-0.013584358,0.002835132,-0.044811804,-0.047726338,-0.025910335
2008-06-24,-0.148531132,-1.887736296,-1.525107012,-0.022643897,-0.018574302,-0.016439982,-0.007566962,-0.024807755,-0.019706314,-0.026337423,-0.032712219,-0.018094174
2008-06-25,-1.150659956,4.449479774,-2.546683417,0.004849081,-0.001666712,0.021792146,-0.004424031,-0.007345617,-0.004368513,0.030779991,0.020020763,0.003020357
